seq,verdict,task_name,question_id,critic_fail_types,critic_passed,reject_count,stem_preview,reason_preview
24,uncertain,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:2:211:27d59a8c,reverse_solve_fail,False,4,客户张明（男，35岁）与妻子李芳（女，33岁）均为上海在职职工，已连续缴存公积金超过6个月。他们家庭名下在沪无住房，但张明婚前曾与父母共有一套住房，登记在三人名下。张明家庭在全国范围内有过1次公积金贷款记录，该贷款已结清，目前公积金未在使用。经查询，张明与李芳的个人征信报告均无连续6期或累计12期以上的逾期记录，且目前,审计不通过。核心问题在于反向解题失败。虽然从表面条件看，张明家庭符合当前切片中首套房的描述（在沪无住房、全国1次贷款记录、公积金未使用），且婚前与父母共有的房产似乎可被‘剔除’。但切片规则中对‘剔除’条件的表述——‘在婚前借款人及其配偶与各自父母登记在产证上的最多各有1套可以剔除’——存在解释空间。‘登记在产证上’是否明确包含‘与父母共有’？‘各有1套’的‘各’是指借款人个人还是借款人及其配偶各自？题干中‘登记在三人名下’是典型的共有情
25,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:3:210:05fafcf5,,True,1,根据现行公积金贷款政策，购买第二套住房，若该住房位于上海市嘉定、青浦、松江、奉贤、宝山、金山6个行政区全域或临港新片区，其最低首付比例为（　）。,
26,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:4:210:112426f2,,True,1,根据公积金贷款政策，购买二套住房时，若房屋位于临港新片区或嘉定、青浦、松江、奉贤、宝山、金山这6个行政区全域，适用的最低首付比例为（　）。,
27,true_issue,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:5:202:60c1f7cc,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail,,2,客户王强，上海户籍，已婚，育有一名5岁未成年子女，与配偶共同购买一套位于外环内的新房，总价500万元，首付款200万元，申请商业贷款300万元。根据商业贷款面签备件要求，经纪人需要提醒王强准备以下哪些材料（　）。,审计不通过。核心问题：题干选项与解析答案存在致命矛盾。题干仅列出A、B、C、D四个选项，但解析声称答案为ABCDE，并详细解析了选项E（未成年子女出生证及户口簿复印件）。根据当前切片规则，选项E确实是必要备件，但题干未提供此选项，导致考生无法选择正确答案，题目无法成立。这违反了【典型错题审计】中“题干与选项/解析前后不一致”的Fail条件。此外，这也导致【反向解题】失败，因为考生无法从题干选项中得到唯一且确定的答案（正确选项E缺失）。必
28,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:6:195:05b21fcc,,True,1,客户张明计划申请一笔商业贷款，名下已有其他贷款，每月总还款额为8000元。根据商业贷款收入证明的要求，以下关于张明收入证明金额的说法正确的有（　）。,
29,true_issue,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:9:194:79e57901,reverse_solve_fail|quality_fail|code_check_fail,False,4,客户王明申请商业贷款购买一套住宅，房屋正常评估价为200万元，贷款成数为65%。王明家庭名下无其他负债，其收入证明显示月收入为8000元。若该笔商业贷款采用等额本息还款方式，贷款期限为30年，年利率为4.5%（月利率为0.375%）。已知等额本息月供计算公式为：月供 = 贷款本金 × [月利率 × (1+月利率)^期数,审计不通过。原因：1. 【选项逻辑审计 Fail】选项C“月供约为4000元”与题干已设定的计算条件（有明确公式和参数）完全矛盾，是一个无效干扰项，违反了干扰项应“似是而非、可解释”的质量要求。2. 【选项规范审计 Fail】选项C和D包含单位“元”，但题干未将单位提前。3. 【质量把关审计 Fail】题干隐含的计算（等额本息月供）过于复杂，依赖计算器，且未明确保留位数，不符合简算优先原则。虽然题目考查的规则（收入与月供比例）适纲，推导
30,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:10:193:6aa1d167,,True,2,根据商业贷款资格认定规则，家庭负债通过征信报告认定，征信报告没有体现的负债一般不会认定。客户张明家庭月收入为18000元，其征信报告显示每月需偿还的现有贷款（车贷）为2000元。银行以收入证明作为家庭收入认定依据，以征信报告作为家庭负债认定依据。以下关于张明家庭收入与负债倍数关系的说法中，正确的有（　）。,
31,true_issue,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:11:193:6e7b6921,calculation_region_condition_missing,False,3,客户王明计划申请商业贷款购买一套住宅，其家庭每月需偿还的各类贷款（包括现有房贷、车贷等）总额为8000元。银行要求其家庭月收入至少达到月负债的2倍。王明提供了其个人所得税纳税记录，显示每月纳税额为400元（假设适用税率为10%）。同时，其家庭每月公积金缴存总额为1200元。经纪人需要评估其收入是否符合银行要求，下列计算,题干缺少区域口径（是否城六区），无法唯一确定分段单价
32,true_issue,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:13:190:63f12626,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail,False,4,上海市个人住房商业性贷款的套数认定（首套/二套）涉及银行和不动产登记机构两个部门，两个部门的认定标准有时一致、有时不一致。在贷款环节，银行会按照一套特定的标准进行认定。关于这一认定环节，下列哪项表述一定正确（　）。,审计不通过。核心问题是反向解题失败。当前知识切片（五、商业贷款套数认定标准）在核心内容处以“按照下列标准认定：”结尾，且metadata明确标注为不完整（incomplete）。题干考查的正是“认定环节”，但考生在考试时无法看到“下列标准”的具体内容。虽然选项A的表述在逻辑上与切片前半部分相符，但考生在闭卷考试中，面对一个明确提示规则未展开的教材片段，无法确信“银行自身的标准”就是教材中未给出的那部分内容，也无法排除其他可能性（例如，银
33,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:16:332:75b68ffb,,True,1,经纪人小王在向客户介绍链家的服务能力时，想说明公司已不仅是新房销售平台，而是能提供贯穿居住全周期的综合服务。根据公司2026年围绕“十大战役”的规划，以下哪些具体业务举措可以作为他向客户展示“全产业链综合服务商”定位的例证（　）。,
34,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:17:332:7709e504,,True,2,门店在2026年推进“十大战役”时，经理要求所有战役动作必须用“项目制”拆解到人、到节奏、到结果，并通过穿透式管理确保落地。以下做法中，最符合材料所述“科学之战”要求的是（　）。,
35,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:19:187:cdc4cc13,,True,3,经纪人王强在复盘一笔新房商业贷款交易时，发现记录的流程节点顺序为：签署买卖合同并支付定金 → 网签 → 买方办理商业贷款 → 银行放款 → 房屋交付。按照标准的商业贷款流程，在“买方办理商业贷款”之后、“银行放款”之前，紧接着必须完成的环节是（　）。,
36,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:20:214:622747db,,True,2,客户张明（男，35岁）与妻子李芳（女，33岁）均为上海户籍，育有一名5岁女儿。他们家庭名下在沪无住房，计划申请公积金贷款购买一套经核实认定的二星级新建绿色建筑住房作为首套住房。经纪人王强在计算其家庭公积金贷款最高额度时，下列计算结果正确的有（　）。,
37,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:21:197:2dd2355a,reverse_solve_fail|grounding_fail|quality_fail|code_check_fail|explanation_fail,False,4,客户王强今年46周岁，计划通过商业贷款购买一套住宅。该住宅于2016年建成，不动产权证书上记载的竣工日期为2016年。若当前为2026年，根据商业贷款贷款年限确定规则，王强此次贷款的最长贷款年限为（　）。,审计不通过。核心问题是反向解题失败：题干未提供计算房龄所必需的“当前年份”。题干中“若当前为2026年”是一个假设条件，而非给定事实，考生无法据此确定当前年份来计算房龄。这导致无法依据题干条件唯一推导出答案，违反了反向解题的“缺关键数值/条件”Fail条件。此外，解析基于题干未明确的条件进行计算，导致解析无效。题目质量检查也未通过。
38,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:22:198:d0cb754b,,True,3,经纪人王强在为客户办理二手房商业贷款时，需要向银行提供最权威的房屋年龄认定依据。依据教材关于房屋年龄认定方法说服力与权威性的比较，王强可以采取的正确做法包括（　）。,
39,uncertain,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:23:210:afb47711,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail|writer_issue,False,4,客户王强，男，38周岁，在上海缴纳公积金满8年，名下在沪无住房且全国范围内无公积金贷款记录。他计划通过公积金贷款购买一套位于松江区（属于“二套（贷款所购住房位于临港新片区以及嘉定、青浦、松江、奉贤、宝山、金山6个行政区全域的）”所列区域范围内）的新建商品住宅，房屋总价300万元，贷款年限为10年。根据公积金贷款政策表，,审计不通过。题目存在致命逻辑缺陷，导致反向解题失败。题干一方面给出了符合教材“首套房”认定标准的客户条件（名下在沪无住房、全国无贷款记录），另一方面又强行将购房区域（松江区）与政策表中的“二套”区域描述直接等同，并以此作为选择利率的唯一依据。教材中的政策表是“结果”展示，其适用的前提是房屋套数已根据“四、公积金贷款套数认定标准”完成认定。题干跳过套数认定步骤，直接由区域反推套数并适用利率，这与教材建立的规则体系（先认定套数，再查表得政策
40,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:26:306:ad2735b6,,True,1,经纪人张伟因录入虚假房源被扣减信用分3分。根据公司信用管理规则，关于其积分扣减的启动，以下哪项描述是正确的（　）。,
41,true_issue,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:27:232:e06d0095,reverse_solve_fail|grounding_fail|quality_fail|code_check_fail|explanation_fail,False,4,上海市某拆迁居民取得拆迁补偿款500万元。其新购入一套住房，税务核定价600万元，适用的契税税率为1.5%。按“拆迁补偿款新购住房契税减免”规则计算，该居民此次新购住房应缴纳的契税税额为（　）。（单位：万元）。,审计不通过。核心问题在于反向解题失败：题干仅说“新购入一套住房”，未明确是“新房”还是“存量房”。教材规则中，新房交易可忽略增值税，存量房需减去增值税。题干未提供增值税金额，若考生按存量房理解，则无法计算唯一答案。这违反了反向解题的“唯一且确定的答案”原则。解析中默认按新房处理，属于主观补充条件，不能弥补题干缺陷。此外，解析与题干条件不一致（解析补充了“新房”前提），导致解析无效，进而 grounding_check_passed 为 
42,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:28:230:06917080,,True,1,客户王明名下已有一套住房，现购买一套建筑面积为128㎡的新建商品住宅，该住宅的税务核定价为620万元。王明需要缴纳的契税金额为（万元）（　）。,
43,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:30:274:adc41103,,True,2,上海链家为全面评估服务水平，定义了“问题发生率”这一新指标。在计算该指标时，作为分子的消费者反馈问题总数，其统计口径需要明确两个关键要素。以下关于这两个要素的描述，正确的是（　）。,
44,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:31:218:19873447,,True,2,在组合贷款办理中，经纪人向客户解释，银行面签后需要完成一项关键步骤，该步骤的结果将直接影响商业贷款部分的额度计算。这项关键步骤是（　）。,
45,uncertain,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:32:192:da252103,reverse_solve_fail,,3,沪籍家庭王伟家庭名下在沪已有一套住房，该住房的商业贷款已结清。现王伟计划再次申请商业贷款购买一套新房，按照上海市个人住房商业性贷款套数认定标准，此次申请应被认定为（　）。,根据反向解题最高裁决权：题干条件“家庭名下在沪有一套住房，商贷已结清”可直接触发当前切片二套认定规则（无论贷款是否结清），但教材在“二套认定”切片下有一条注记：“沪籍或非沪籍外地多子女家庭纯商业贷款二套认定标准：不限购的情况下，家庭名下有2套首套商贷在还。”同时，在“首套认定”切片下也有类似注记：“沪籍或非沪籍外地多子女家庭纯商业贷款首套认定标准：不限购的情况下，家庭名下有0套或者1套首套商贷在还。”这两条特殊规则为“沪籍或非沪籍外地多
46,uncertain,模板题量约束验证-20260331-1#p2,sh:v20260320_021958:1:191:e3ed8204,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail,False,4,沪籍家庭张明（非外地多子女家庭），其本人名下在沪无住房，但在限购前曾与父母共同登记在产证上的住房有3套，且均为商业贷款，目前已全部结清。张明现在申请纯商业贷款购买一套新房，按照商业贷款套数认定标准，其本次贷款应被认定为（　）。,题目考查知识点明确来自当前切片，但存在反向解题失败问题。根据教材规则‘在限购前借款人及其配偶与各自父母登记在产证上的最多各有2套可剔除’，题干仅提供了张明本人与父母登记3套，但未明确张明是否为‘借款人’，也未提供其配偶的登记情况。这使得学员无法在不猜测或默认前提（如张明是借款人、配偶无登记）的情况下，唯一推导出‘仍有1套需要计入套数’的结论。因此，题目无法直接进入正式题库。
47,misjudge,模板题量约束验证-20260331-1#p2,sh:v20260320_021958:2:187:e4def4cc,,True,1,客户通过商业贷款购买新房，在签署买卖合同并支付定金后，接下来应该进行的步骤是（　）。,
48,true_issue,模板题量约束验证-20260331-1#p2,sh:v20260320_021958:5:5:658332b8,reverse_solve_fail|answer_mismatch|grounding_fail|quality_fail|code_check_fail|explanation_fail|writer_issue,False,3,一套房屋的挂牌价为320万元，最终以300万元成交，其价差率为（　）。,【审计不通过】 1.  **反向解题失败（最高优先级）**：题干提供了计算价差率的具体数值（挂牌价320万，成交价300万），但设问要求判断价差率在“量价齐跌”阶段的变化趋势。教材规则（当前切片）指出“价差率不断缩小，说明市场向好”。要回答本题，考生必须知道“量价齐跌是市场低谷期（向坏）”，并据此反推“价差率应不断放大”。然而，题干中完全没有提及“量价齐跌”或任何市场周期阶段的信息。这个关键前提是缺失的，考生无法从题干条件推导出适用“市
49,uncertain,模板题量约束验证-20260331-1#p2,sh:v20260320_021958:11:346:3e894648,reverse_solve_fail|answer_mismatch|grounding_fail|quality_fail|explanation_fail,False,3,某区域联动业务线运营总经理，在2026年度PSU激励评选中，其规模指标（认购业绩目标达成率）经排名赋分后得85分，效率指标（联动占有率）经排名赋分后得78分，能力指标（联动综合能力）经排名赋分后得92分。按照公司干部考核规则，该运营总经理的年度攀登指数应为85×5+78×3+92×2（　）,审计不通过。核心问题是反向解题失败。教材规则“上述指标均为排名赋分”存在歧义：“指标”可指最终代入主公式的规模、效率、能力得分（理解A），也可指构成这些得分的子指标（如联动占有率下的在营盘市占增长率、客占率）（理解B）。题干直接给出了规模、效率、能力的得分，并陈述了一个计算式，这预设了理解A。但考生仅凭题干和教材，无法排除理解B的可能性。若按理解B，则需要知道子指标的排名赋分结果和权重才能合成最终得分，题干未提供这些信息，因此无法验证题
